"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"DNN60",-0.352067431870914,0.178608661938047,4378486.15309239,-1.97116661672899,0.048704883868953
"DNN61",-0.175916562666733,0.133006637240859,4378498.90101138,-1.32261491844328,0.18596353958489
"DNN62",-0.520999118587467,0.141174314067519,4378455.91669639,-3.69046679651859,0.00022384561785404
"DNN63",0.708958174360247,0.144268855124156,4378450.08816977,4.91414570213459,8.91736305856893e-07
"DNN64",-0.0739499702329521,0.177278940197821,4378556.37174861,-0.417139058652049,0.676576717624142
"DNN65",-0.418805392947767,0.16022196828898,4378490.3212909,-2.61390742742843,0.00895135926127231
"DNN66",1.31877437101221,0.160643031311636,4378481.13145842,8.20934689942376,2.22454219493262e-16
"DNN67",0.819841067600085,0.136325495085937,4378500.51015583,6.01384991914589,1.81182520056391e-09
"DNN68",2.61225833420849,0.244865168242491,4378498.13309974,10.668149957619,1.43562119366579e-26
"DNN69",-0.259134800674407,0.153380446775885,4378440.64004617,-1.68949045410624,0.0911255508743751
"DNN70",-1.82350380209749,0.150139300354319,4378490.49663249,-12.1454129451392,6.07519256444604e-34
"DNN71",-1.05061361085286,0.183869833526967,4378744.82153792,-5.71389874401974,1.10423840923725e-08
"DNN72",-0.584829184926031,0.146164054873263,4378554.14461889,-4.00118336504231,6.3027527363024e-05
"DNN73",-0.161366739985467,0.133160835736724,4378682.67203231,-1.21181831799636,0.225582000112833
"DNN74",-0.235269900705687,0.139315194831254,4378468.01921639,-1.68875980104437,0.0912655415277119
"DNN75",-0.73042476892903,0.141843053930053,4378441.55794686,-5.14952793733013,2.61154140949716e-07
"DNN76",0.900878841778646,0.144000154772642,4378471.23354241,6.25609634379225,3.947692213611e-10
"DNN77",-0.0136974602827506,0.151417662420523,4378476.71239307,-0.0904614432939107,0.927920536222294
"DNN78",0.922471286232364,0.138965011245507,4378445.45722087,6.63815501444929,3.17670531764335e-11
"DNN79",-2.40488922115817,0.174259601520883,4378471.94620461,-13.8006124206015,2.53226088162098e-43
"DNN80",-0.792311875579696,0.155502307328923,4378473.94835392,-5.09517761626377,3.48428871013876e-07
"DNN81",0.376931996690675,0.127625714530321,4378527.11080009,2.95341732720426,0.00314278445564552
"DNN82",1.21754948485832,0.140781531646494,4378467.02402593,8.64850290104545,5.21965397738712e-18
"DNN83",0.452587514069652,0.149973678336592,4378471.83162438,3.01777964699839,0.00254635446404319
"DNN84",-0.484451209076179,0.129659112684342,4378541.89226579,-3.73634524443791,0.000186716639792187
"DNN85",-1.22881050965077,0.145328141797171,4378494.32706113,-8.45542022663286,2.78167450827355e-17
"DNN86",0.718773782326579,0.131049488025883,4378479.82063838,5.48475078502113,4.14075510206589e-08
"DNN87",-1.52518807511525,0.149203631021221,4378473.67386634,-10.2221914083198,1.57834280630106e-24
"DNN88",-0.494161999762945,0.148007023574624,4378463.17478737,-3.33877398401834,0.000841497019329937
"DNN89",1.43976761012498,0.1565292170156,4378466.852545,9.1980758453643,3.64568994643927e-20
"DNN90",0.0535647501921519,0.151137205971325,4378480.19886934,0.354411409473287,0.723030602316858
"DNN91",0.539888518054685,0.142993216343097,4378509.34518012,3.77562329082297,0.000159610159798879
"DNN92",0.255230217908749,0.138577601118041,4378488.80911456,1.84178551114723,0.0655065978156156
"DNN93",-1.05874235187494,0.130920580751423,4378428.75370064,-8.08690540324718,6.12151624589766e-16
"DNN94",0.630990824342713,0.159154387558584,4378521.15161729,3.96464611514683,7.35060779857107e-05
"DNN95",0.564225202022847,0.132600207312943,4378452.38471272,4.25508536869214,2.08973605529049e-05
"DNN96",-0.227663397566108,0.130445280840225,4378462.10791579,-1.74527891005088,0.0809364013484534
"DNN97",0.504367692326682,0.152698377171594,4378672.23862052,3.30303243340891,0.000956460908960452
"DNN98",-1.36527991939572,0.148042171929377,4378452.10277053,-9.22223648574289,2.91089895899765e-20
"DNN99",0.0101837836946118,0.134184219427264,4378477.99823032,0.0758940487792008,0.939503395059213
"DNN100",-0.909753638840545,0.141739508334359,4378437.9375679,-6.41849015515465,1.37646485091373e-10
